Wavenumber=450.301459,Intensity=0.0833925313762773
Wavenumber=451.716569,Intensity=0.0587043394013324
Wavenumber=452.879629,Intensity=0.27286616490974
Wavenumber=453.661302,Intensity=0.047751531980962
Wavenumber=454.550009,Intensity=0.0487832923324816
Wavenumber=454.734074,Intensity=0.0665951716422291
Wavenumber=454.771276,Intensity=0.0511884066028853
Wavenumber=455.16369,Intensity=0.052001133947479
Wavenumber=455.209749,Intensity=0.055995502486541
Wavenumber=455.264642,Intensity=0.0615704342169381
Wavenumber=455.380267,Intensity=0.057765483541183
Wavenumber=455.430761,Intensity=0.0539703698553436
Wavenumber=455.479261,Intensity=0.06591129249535
Wavenumber=455.59632,Intensity=0.052117243168843
Wavenumber=455.6507133,Intensity=0.0485926095007286
Wavenumber=455.694454,Intensity=0.0599075327412527
Wavenumber=455.813106,Intensity=0.0686912913262215
Wavenumber=455.8717005,Intensity=0.0537762530063091
Wavenumber=455.909699,Intensity=0.0623976677732115
Wavenumber=455.957966,Intensity=0.0428954371724997
Wavenumber=456.029285,Intensity=0.0578710451580044
Wavenumber=456.12495,Intensity=0.0607230727803911
Wavenumber=456.227757,Intensity=0.058283097467813
Wavenumber=456.246867,Intensity=0.0691728350496624
Wavenumber=456.313958,Intensity=0.069078542813497
Wavenumber=456.3412,Intensity=0.0678271541757829
Wavenumber=456.448222,Intensity=0.0615057645653824
Wavenumber=456.464224,Intensity=0.0815767956688433
Wavenumber=456.535278,Intensity=0.0641726156892518
Wavenumber=456.557269,Intensity=0.0754895070718582
Wavenumber=456.668438,Intensity=0.0635839440204138
Wavenumber=456.682419,Intensity=0.0806803795000583
Wavenumber=456.756539,Intensity=0.0721257699490882
Wavenumber=456.774352,Intensity=0.0872993789808557
Wavenumber=456.873028,Intensity=0.153236982819883
Wavenumber=456.888747,Intensity=0.068239757118915
Wavenumber=456.899865,Intensity=0.0790242976924952
Wavenumber=456.978507,Intensity=0.0778694187062224
Wavenumber=456.991279,Intensity=0.0827660073869395
Wavenumber=457.109189,Intensity=0.0705463452293546
Wavenumber=457.118271,Intensity=0.0862216928337543
Wavenumber=457.200559,Intensity=0.0845483776913618
Wavenumber=457.208497,Intensity=0.0901968859393727
Wavenumber=457.329885,Intensity=0.0843943268576077
Wavenumber=457.337368,Intensity=0.0873476858935124
