Wavenumber=11208.3079,Intensity=0.0676009812884453
Wavenumber=11276.2548,Intensity=0.109646830047652
Wavenumber=11276.8320999999,Intensity=0.0731551837470599
Wavenumber=11291.3978,Intensity=0.17551931642736
Wavenumber=11334.547,Intensity=0.0596167100244961
Wavenumber=11360.9499,Intensity=0.0687863524624962
Wavenumber=11367.9582,Intensity=0.0655329736605591
Wavenumber=11375.408,Intensity=0.0736296817390962
Wavenumber=11381.5272,Intensity=0.316653924727535
Wavenumber=11385.5865,Intensity=0.425267503997343
Wavenumber=11388.6395,Intensity=0.0713685061434674
Wavenumber=11390.1892,Intensity=0.0828225120056687
Wavenumber=11397.2237,Intensity=0.115061791869006
Wavenumber=11400.7585,Intensity=0.0810879146628802
Wavenumber=11405.3972,Intensity=0.095976525278882
Wavenumber=11413.6355,Intensity=0.0821371283852099
Wavenumber=11420.9988,Intensity=0.0986060278806359
Wavenumber=11424.8093,Intensity=0.102450369521918
Wavenumber=11427.3713,Intensity=0.0657411099968071
Wavenumber=11435.6854,Intensity=0.0842787843644472
Wavenumber=11436.0798,Intensity=0.0908249555936033
Wavenumber=11437.9879,Intensity=0.0964264430359733
Wavenumber=11438.5886,Intensity=0.106082113443269
Wavenumber=11445.0447,Intensity=0.0869919237020414
Wavenumber=11452.3806,Intensity=0.121192819979815
Wavenumber=11453.1238,Intensity=0.121439588488789
Wavenumber=11455.5984,Intensity=0.119535700105902
Wavenumber=11460.8507,Intensity=0.073312554083621
Wavenumber=11463.9372,Intensity=0.119210416927388
Wavenumber=11466.5613,Intensity=0.134585169178511
Wavenumber=11469.6882,Intensity=0.125349451374839
Wavenumber=11473.1967,Intensity=0.0809908298389617
Wavenumber=11476.2205,Intensity=0.125739310950941
Wavenumber=11477.8931,Intensity=0.0885336869704522
Wavenumber=11480.416,Intensity=0.0843233484724847
Wavenumber=11482.0847,Intensity=0.140727713058351
Wavenumber=11483.5856,Intensity=0.0756531394671733
Wavenumber=11486.4792,Intensity=0.146335842847447
Wavenumber=11488.1317,Intensity=0.0684017215144062
Wavenumber=11488.3884,Intensity=0.142445445234157
Wavenumber=11494.4009,Intensity=0.0757305956237066
Wavenumber=11495.5837,Intensity=0.170123898024022
Wavenumber=11496.6961,Intensity=0.112215770076312
Wavenumber=11496.9694,Intensity=0.118954533839965
Wavenumber=11498.2073,Intensity=0.0764341870887215
Wavenumber=11502.6267,Intensity=0.135881684218375
Wavenumber=11503.8835,Intensity=0.0678125844323966
Wavenumber=11504.4288,Intensity=0.104203146292806
Wavenumber=11504.8011,Intensity=0.0987675612280865
Wavenumber=11505.6482,Intensity=0.12023112183965
Wavenumber=11510.6843,Intensity=0.19239727081531
Wavenumber=11512.2663,Intensity=0.193984344123744
Wavenumber=11513.4017,Intensity=0.0780751593111805
Wavenumber=11514.9017,Intensity=0.132775325058688
Wavenumber=11515.0011,Intensity=0.160578114054336
Wavenumber=11516.1341,Intensity=0.0858997940261561
Wavenumber=11518.2469,Intensity=0.14585012035506
Wavenumber=11519.3923,Intensity=0.0747230901555278
Wavenumber=11520.5837,Intensity=0.172854534794758
Wavenumber=11521.3086,Intensity=0.0680391914654242
Wavenumber=11523.5906,Intensity=0.139443957007493
Wavenumber=11525.4851,Intensity=0.213607853922136
Wavenumber=11525.9968,Intensity=0.202424514808895
Wavenumber=11527.2341,Intensity=0.0816808027171588
Wavenumber=11528.3351,Intensity=0.0764714907921019
Wavenumber=11529.8888,Intensity=0.0749306936832149
Wavenumber=11533.7115,Intensity=0.0900749742632153
Wavenumber=11537.1759,Intensity=0.0958175991413229
Wavenumber=11537.9363,Intensity=0.1882399432171
Wavenumber=11538.864,Intensity=0.246212086337379
Wavenumber=11539.1121,Intensity=0.148566421023449
Wavenumber=11540.5874,Intensity=0.103537881523609
Wavenumber=11541.5095,Intensity=0.227519883278836
Wavenumber=11543.2418,Intensity=0.0814225042309262
Wavenumber=11543.9617,Intensity=0.0808482005392534
Wavenumber=11545.9281,Intensity=0.0763941483013949
Wavenumber=11547.0551,Intensity=0.103543238025675
Wavenumber=11548.573,Intensity=0.175024102838474
Wavenumber=11549.1806,Intensity=0.0765257449118345
Wavenumber=11550.1428,Intensity=0.103079964533989
Wavenumber=11551.6641,Intensity=0.603319792323442
Wavenumber=11552.4792,Intensity=0.25440429502238
Wavenumber=11554.6517,Intensity=0.0760839755736686
Wavenumber=11555.3425,Intensity=0.191318638956302
Wavenumber=11557.2351,Intensity=0.271500232048784
Wavenumber=11559.574,Intensity=0.218772473865101
Wavenumber=11559.8767,Intensity=0.0777376286398781
Wavenumber=11561.4786,Intensity=0.0830169231933868
Wavenumber=11561.8313,Intensity=0.095347555428856
Wavenumber=11566.3162,Intensity=0.269926272935064
Wavenumber=11567.991,Intensity=0.133370791906402
Wavenumber=11569.1517,Intensity=0.0689307151660561
Wavenumber=11569.6144,Intensity=0.0937110516941948
Wavenumber=11569.6144,Intensity=0.0937110516941948
Wavenumber=11571.1101,Intensity=0.243291926009458
Wavenumber=11572.4275,Intensity=0.236220902827199
Wavenumber=11572.8904,Intensity=0.177115809791152
Wavenumber=11573.9831,Intensity=0.0565243708340764
Wavenumber=11575.2732,Intensity=0.0731065347733884
Wavenumber=11576.1291,Intensity=0.0916786285740656
Wavenumber=11576.6365,Intensity=0.136979767141915
Wavenumber=11577.2115,Intensity=0.0667478127000874
Wavenumber=11577.7665,Intensity=0.0844453545288273
Wavenumber=11578.0679,Intensity=0.301526054651211
Wavenumber=11580.3474,Intensity=0.323639940079923
Wavenumber=11582.6545,Intensity=0.0723001822972523
Wavenumber=11582.9919,Intensity=0.261883591644607
Wavenumber=11584.0441,Intensity=0.0905408478606784
Wavenumber=11586.0232,Intensity=0.154992205934288
Wavenumber=11588.4312,Intensity=0.0708251834935851
Wavenumber=11588.8025,Intensity=0.276415341294715
Wavenumber=11590.154,Intensity=0.111524241397117
Wavenumber=11590.4763,Intensity=0.206695948688518
Wavenumber=11592.2576,Intensity=0.0911980778767769
Wavenumber=11594.5388,Intensity=0.349731589517692
Wavenumber=11594.8259,Intensity=0.259300422075313
Wavenumber=11595.8669,Intensity=0.172722085690621
Wavenumber=11596.7122,Intensity=0.0917660304904032
Wavenumber=11598.4324,Intensity=0.107844637058765
Wavenumber=11598.4324,Intensity=0.107844637058765
Wavenumber=11601.2981,Intensity=0.07127731773429
Wavenumber=11604.8367,Intensity=0.306888240008575
Wavenumber=11605.1589,Intensity=0.0786633089213238
Wavenumber=11606.6999,Intensity=0.177329046881356
